YEAR,SAEPOVU_ALL,COUNTY,GEOID,NAME,SAEPOVALL_PT,SAEMHI_PT,STABREV,SAEPOVRTALL_PT,time,state,county]
2001,45396,1,1001,Autauga County,4904,42183,AL,10.8,2001,1,001]
2001,146361,3,1003,Baldwin County,16313,40406,AL,11.1,2001,1,003]
2001,26081,5,1005,Barbour County,6312,25480,AL,24.2,2001,1,005]
2001,19793,7,1007,Bibb County,3605,31074,AL,18.2,2001,1,007]
2001,52531,9,1009,Blount County,7152,36175,AL,13.6,2001,1,009]
2001,9779,11,1011,Bullock County,3218,20367,AL,32.9,2001,1,011]
2001,20541,13,1013,Butler County,4440,25284,AL,21.6,2001,1,013]
2001,109234,15,1015,Calhoun County,17816,31849,AL,16.3,2001,1,015]
2001,35606,17,1017,Chambers County,5814,29824,AL,16.3,2001,1,017]
2001,23977,19,1019,Cherokee County,4052,30738,AL,16.9,2001,1,019]
2001,40074,21,1021,Chilton County,6539,32883,AL,16.3,2001,1,021]
2001,15329,23,1023,Choctaw County,2982,25878,AL,19.5,2001,1,023]
2001,27219,25,1025,Clarke County,5438,28010,AL,20,2001,1,025]
2001,13972,27,1027,Clay County,2200,28289,AL,15.7,2001,1,027]
2001,14451,29,1029,Cleburne County,2378,31125,AL,16.5,2001,1,029]
2001,43268,31,1031,Coffee County,6725,33916,AL,15.5,2001,1,031]
2001,54074,33,1033,Colbert County,7990,32249,AL,14.8,2001,1,033]
2001,13651,35,1035,Conecuh County,3204,23177,AL,23.5,2001,1,035]
2001,11507,37,1037,Coosa County,1784,29114,AL,15.5,2001,1,037]
2001,36516,39,1039,Covington County,6813,27108,AL,18.7,2001,1,039]
2001,13414,41,1041,Crenshaw County,2638,26965,AL,19.7,2001,1,041]
2001,76962,43,1043,Cullman County,10905,32877,AL,14.2,2001,1,043]
2001,47660,45,1045,Dale County,7814,31966,AL,16.4,2001,1,045]
2001,44911,47,1047,Dallas County,11298,24191,AL,25.2,2001,1,047]
2001,65057,49,1049,DeKalb County,10862,30297,AL,16.7,2001,1,049]
2001,63232,51,1051,Elmore County,8453,40445,AL,13.4,2001,1,051]
2001,36411,53,1053,Escambia County,7246,28029,AL,19.9,2001,1,053]
2001,101228,55,1055,Etowah County,17180,30516,AL,17,2001,1,055]
2001,18017,57,1057,Fayette County,3040,29684,AL,16.9,2001,1,057]
2001,30496,59,1059,Franklin County,5652,27618,AL,18.5,2001,1,059]
2001,25234,61,1061,Geneva County,5066,26992,AL,20.1,2001,1,061]
2001,9829,63,1063,Greene County,2794,20771,AL,28.4,2001,1,063]
2001,17065,65,1065,Hale County,4192,25063,AL,24.6,2001,1,065]
2001,16168,67,1067,Henry County,2773,30154,AL,17.1,2001,1,067]
2001,88954,69,1069,Houston County,14241,34500,AL,16,2001,1,069]
2001,53305,71,1071,Jackson County,7920,32302,AL,14.9,2001,1,071]
2001,646113,73,1073,Jefferson County,87670,37058,AL,13.6,2001,1,073]
2001,15205,75,1075,Lamar County,2610,28608,AL,17.2,2001,1,075]
2001,85409,77,1077,Lauderdale County,12521,33426,AL,14.7,2001,1,077]
2001,34542,79,1079,Lawrence County,5211,33159,AL,15.1,2001,1,079]
