YEAR,GEOID,NAME,STABREV,SAEPOVU_ALL,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEPOVU_0_17,SAEPOV0_17_PT,SAEPOVRT0_17_PT,SAEMHI_PT,time,state,county]
2017,1001,Autauga County,AL,55021,7390,13.4,13159,2542,19.3,58343,2017,1,001]
2017,1003,Baldwin County,AL,209922,21199,10.1,45790,6734,14.7,56607,2017,1,003]
2017,1005,Barbour County,AL,22224,7414,33.4,5180,2606,50.3,32490,2017,1,005]
2017,1007,Bibb County,AL,20434,4137,20.2,4552,1242,27.3,45795,2017,1,007]
2017,1009,Blount County,AL,57452,7343,12.8,13391,2484,18.5,48253,2017,1,009]
2017,1011,Bullock County,AL,8597,2956,34.4,2103,1015,48.3,29113,2017,1,011]
2017,1013,Butler County,AL,19471,4154,21.3,4458,1471,33,36842,2017,1,013]
2017,1015,Calhoun County,AL,111883,19832,17.7,24510,5932,24.2,45937,2017,1,015]
2017,1017,Chambers County,AL,33242,6036,18.2,6996,2071,29.6,36883,2017,1,017]
2017,1019,Cherokee County,AL,25518,4381,17.2,5042,1262,25,44842,2017,1,019]
2017,1021,Chilton County,AL,43598,7303,16.8,10362,2339,22.6,46405,2017,1,021]
2017,1023,Choctaw County,AL,12792,3031,23.7,2578,896,34.8,36711,2017,1,023]
2017,1025,Clarke County,AL,23787,5541,23.3,5228,1670,31.9,36719,2017,1,025]
2017,1027,Clay County,AL,13086,2363,18.1,2721,694,25.5,39642,2017,1,027]
2017,1029,Cleburne County,AL,14675,2365,16.1,3361,754,22.4,45480,2017,1,029]
2017,1031,Coffee County,AL,51206,7954,15.5,12144,3011,24.8,51998,2017,1,031]
2017,1033,Colbert County,AL,53907,8324,15.4,11285,2509,22.2,46100,2017,1,033]
2017,1035,Conecuh County,AL,12387,2939,23.7,2585,1108,42.9,30796,2017,1,035]
2017,1037,Coosa County,AL,10478,1823,17.4,1741,481,27.6,42442,2017,1,037]
2017,1039,Covington County,AL,36490,6447,17.7,7971,2067,25.9,39093,2017,1,039]
2017,1041,Crenshaw County,AL,13695,2722,19.9,3157,926,29.3,38419,2017,1,041]
2017,1043,Cullman County,AL,81547,11256,13.8,18222,3407,18.7,45925,2017,1,043]
2017,1045,Dale County,AL,48173,8528,17.7,11211,2901,25.9,42572,2017,1,045]
2017,1047,Dallas County,AL,38660,10796,27.9,9397,4061,43.2,31329,2017,1,047]
2017,1049,DeKalb County,AL,70728,13785,19.5,17277,4799,27.8,39906,2017,1,049]
2017,1051,Elmore County,AL,76290,9151,12,18014,2979,16.5,59652,2017,1,051]
2017,1053,Escambia County,AL,34184,7971,23.3,8194,2758,33.7,37870,2017,1,053]
2017,1055,Etowah County,AL,100626,18257,18.1,21804,6399,29.3,41791,2017,1,055]
2017,1057,Fayette County,AL,16206,3146,19.4,3438,948,27.6,39394,2017,1,057]
2017,1059,Franklin County,AL,31132,6394,20.5,7616,2267,29.8,41025,2017,1,059]
2017,1061,Geneva County,AL,26122,5659,21.7,5775,1980,34.3,38561,2017,1,061]
2017,1063,Greene County,AL,8277,2752,33.2,1818,898,49.4,28108,2017,1,063]
2017,1065,Hale County,AL,14579,3654,25.1,3415,1211,35.5,34905,2017,1,065]
2017,1067,Henry County,AL,16905,2882,17,3496,963,27.5,48094,2017,1,067]
2017,1069,Houston County,AL,102856,17095,16.6,23748,6301,26.5,44753,2017,1,069]
2017,1071,Jackson County,AL,51299,8539,16.6,10770,2514,23.3,42658,2017,1,071]
2017,1073,Jefferson County,AL,643726,107752,16.7,148690,34345,23.1,50731,2017,1,073]
2017,1075,Lamar County,AL,13718,2570,18.7,3015,786,26.1,39796,2017,1,075]
2017,1077,Lauderdale County,AL,90380,12395,13.7,18177,3423,18.8,46646,2017,1,077]
2017,1079,Lawrence County,AL,32730,5494,16.8,7048,1719,24.4,42912,2017,1,079]
2017,1081,Lee County,AL,156526,27901,17.8,34003,6512,19.2,51372,2017,1,081]
2017,1083,Limestone County,AL,91333,10830,11.9,21277,3512,16.5,57342,2017,1,083]
2017,1085,Lowndes County,AL,9970,2585,25.9,2258,903,40,33130,2017,1,085]
2017,1087,Macon County,AL,17045,5213,30.6,3151,1407,44.7,30849,2017,1,087]
2017,1089,Madison County,AL,352724,44979,12.8,78511,14232,18.1,62750,2017,1,089]
2017,1091,Marengo County,AL,19101,4356,22.8,4380,1424,32.5,37469,2017,1,091]
2017,1093,Marion County,AL,28977,5582,19.3,6132,1686,27.5,38049,2017,1,093]
2017,1095,Marshall County,AL,94129,18873,20.1,23402,7347,31.4,42751,2017,1,095]
2017,1097,Mobile County,AL,406795,80116,19.7,96283,30256,31.4,45615,2017,1,097]
2017,1099,Monroe County,AL,21066,5018,23.8,4617,1580,34.2,36432,2017,1,099]
2017,1101,Montgomery County,AL,217404,46315,21.3,52645,17748,33.7,45833,2017,1,101]
2017,1103,Morgan County,AL,116631,17301,14.8,26703,5528,20.7,49274,2017,1,103]
2017,1105,Perry County,AL,8542,3180,37.2,2006,1029,51.3,26703,2017,1,105]
2017,1107,Pickens County,AL,18345,4093,22.3,3976,1240,31.2,38379,2017,1,107]
2017,1109,Pike County,AL,31085,8611,27.7,6330,2386,37.7,40680,2017,1,109]
2017,1111,Randolph County,AL,22225,3771,17,4831,1346,27.9,41112,2017,1,111]
2017,1113,Russell County,AL,56358,13078,23.2,13785,4809,34.9,36186,2017,1,113]
2017,1115,St. Clair County,AL,86337,11644,13.5,19920,3506,17.6,52755,2017,1,115]
2017,1117,Shelby County,AL,210737,15585,7.4,50223,4547,9.1,74098,2017,1,117]
2017,1119,Sumter County,AL,11802,4238,35.9,2441,1125,46.1,26495,2017,1,119]
2017,1121,Talladega County,AL,76911,14062,18.3,16607,4568,27.5,41733,2017,1,121]
2017,1123,Tallapoosa County,AL,40059,7311,18.3,8461,2372,28,44469,2017,1,123]
2017,1125,Tuscaloosa County,AL,196976,31238,15.9,43216,8517,19.7,51644,2017,1,125]
2017,1127,Walker County,AL,63079,10975,17.4,13944,3172,22.7,41925,2017,1,127]
2017,1129,Washington County,AL,16353,3303,20.2,3639,1026,28.2,44249,2017,1,129]
2017,1131,Wilcox County,AL,10593,3392,32,2562,1205,47,25700,2017,1,131]
2017,1133,Winston County,AL,23413,4980,21.3,4826,1454,30.1,38562,2017,1,133]
2017,2013,Aleutians East Borough,AK,3361,491,14.6,286,33,11.5,69375,2017,2,013]
2017,2016,Aleutians West Census Area,AK,5548,451,8.1,656,50,7.6,80290,2017,2,016]
2017,2020,Anchorage Borough,AK,287186,27663,9.6,69900,8527,12.2,78579,2017,2,020]
2017,2050,Bethel Census Area,AK,17702,5077,28.7,6276,2226,35.5,45582,2017,2,050]
2017,2060,Bristol Bay Borough,AK,847,92,10.9,162,31,19.1,70094,2017,2,060]
2017,2068,Denali Borough,AK,1976,158,8,387,35,9,73220,2017,2,068]
2017,2070,Dillingham Census Area,AK,4878,1015,20.8,1500,471,31.4,52641,2017,2,070]
